"Date Time","Open","High","Low","Close","Change","MACD","MACD-Signal","MACD-Histogram"
2017-02-01,1212.2,1215,1199.7,1208.3,-3.1000000000001364,18.83269230769224,25.19309116809111,-6.36039886039887
2017-02-02,1211.2,1227.5,1210.2,1219.4,11.100000000000136,16.074358974358802,24.052065527065476,-7.977706552706675
2017-02-03,1217.8,1223.2,1208.3,1220.8,1.3999999999998636,13.64551282051275,22.41730769230763,-8.771794871794881
2017-02-06,1221.9,1237.5,1220.8,1232.1,11.299999999999955,12.68782051282028,20.604273504273426,-7.916452991453145
2017-02-07,1236.9,1237.5,1229.2,1236.1,4,12.287820512820417,18.811467236467152,-6.523646723646735
2017-02-08,1235.2,1246.6,1231.3,1239.5,3.400000000000091,10.902564102563929,17.043304843304718,-6.140740740740789
2017-02-09,1242.7,1246.2,1226.1,1236.8,-2.7000000000000455,10.19230769230785,15.364672364672263,-5.172364672364413
2017-02-10,1229.6,1238.9,1222.6,1235.9,-0.8999999999998636,10.65192307692314,14.009330484330398,-3.3574074074072584
2017-02-13,1234.2,1234.4,1220.3,1225.8,-10.100000000000136,11.940384615384346,13.023931623931528,-1.083547008547182
2017-02-14,1226.1,1236,1222.7,1225.4,-0.3999999999998636,13.023717948717831,12.378490028489928,0.645227920227903
2017-02-15,1228.6,1234.9,1217.5,1233.1,7.699999999999818,14.261538461538521,12.177065527065452,2.0844729344730695
2017-02-16,1234.3,1243.7,1233.3,1241.6,8.5,14.620512820512886,12.2853988603988,2.335113960114086
2017-02-17,1240.8,1245.1,1235.3,1239.1,-2.5,15.552564102564475,12.60370370370371,2.9488603988607647
2017-02-21,1236.4,1240.2,1226.8,1238.9,-0.1999999999998181,15.673717948718377,12.979914529914595,2.693803418803782
2017-02-22,1236.9,1241.9,1231.5,1233.3,-5.600000000000136,15.288461538461888,13.46723646723659,1.8212250712252978
2017-02-23,1238.3,1252.2,1236.4,1251.4,18.100000000000136,15.416025641025726,14.047649572649687,1.3683760683760386
2017-02-24,1250.6,1261.2,1248.8,1258.3,6.899999999999864,15.489102564102495,14.585113960114061,0.9039886039884344
2017-02-27,1258.9,1264.9,1251.5,1258.8,0.5,14.8935897435897,14.913247863247989,-0.019658119658288342
2017-02-28,1253.3,1259.3,1248.2,1253.9,-4.899999999999864,14.433974358973956,15.069943019943114,-0.6359686609691586
2017-03-01,1248.5,1251.4,1237.2,1250,-3.900000000000091,14.285897435897368,15.072649572649652,-0.7867521367522841
2017-03-02,1249.9,1250.8,1231.1,1232.9,-17.09999999999991,14.027564102563929,15.006766381766434,-0.9792022792025055
2017-03-03,1234.8,1236.7,1223,1226.5,-6.400000000000091,13.015384615384392,14.724857549857537,-1.7094729344731459
2017-03-06,1233.9,1237.3,1225,1225.5,-1,11.008974358974456,14.206552706552657,-3.197578347578201
2017-03-07,1225.7,1227.4,1214.1,1216.1,-9.400000000000091,7.818589743589882,13.376566951566879,-5.557977207976997
2017-03-08,1215.6,1218.5,1206.4,1209.4,-6.699999999999818,4.828205128205127,12.200142450142367,-7.37193732193724
2017-03-09,1207.7,1208.9,1199,1203.2,-6.2000000000000455,2.1685897435897914,10.720085470085401,-8.55149572649561
2017-03-10,1200.2,1206.2,1194.5,1201.4,-1.7999999999999545,-0.2243589743591201,9.040313390313308,-9.264672364672428
2017-03-13,1205,1210.9,1202,1203.1,1.699999999999818,-3.6224358974359347,7.034045584045543,-10.656481481481478
2017-03-14,1203.5,1207.5,1196.9,1202.6,-0.5,-7.564102564102541,4.606267806267776,-12.170370370370318
2017-03-15,1198.7,1222,1196.8,1200.7,-1.8999999999998636,-11.198076923076997,1.803418803418784,-13.001495726495781
2017-03-16,1219.5,1234,1218.1,1227.1,26.399999999999864,-13.085256410256306,-1.0966524216524047,-11.988603988603902
2017-03-17,1226.2,1231.5,1224,1230.2,3.1000000000001364,-14.377564102563838,-3.9173789173788816,-10.460185185184956
2017-03-20,1229,1235.5,1228.8,1234,3.7999999999999545,-14.178205128204809,-6.361467236467181,-7.816737891737628
2017-03-21,1234.2,1247.7,1226.6,1246.5,12.5,-12.919230769230353,-8.333404558404457,-4.585826210825896
2017-03-22,1244.5,1251.5,1243.8,1249.7,3.2000000000000455,-11.82179487179451,-9.8878917378916,-1.9339031339029091
2017-03-23,1248.6,1253.3,1242.7,1247.2,-2.5,-10.068589743589655,-10.981695156694993,0.9131054131053382
2017-03-24,1245,1251.9,1240.7,1248.5,1.2999999999999545,-7.402564102563929,-11.401709401709216,3.9991452991452867
2017-03-27,1245.5,1261,1245.5,1255.7,7.2000000000000455,-3.569871794871915,-10.957905982905812,7.388034188033897
2017-03-28,1253.5,1258.4,1247.3,1255.6,-0.10000000000013642,0.3121794871797192,-9.6789886039884,9.991168091168118
2017-03-29,1253,1257.5,1250,1256.8,1.2000000000000455,4.098717948718104,-7.769658119657909,11.868376068376012
2017-03-30,1256.1,1256.5,1244.2,1248,-8.799999999999955,7.316666666666833,-5.359188034187834,12.675854700854668
2017-03-31,1244.6,1252.8,1241.5,1251.2,3.2000000000000455,11.532692307692514,-2.5024216524214657,14.03511396011398
2017-04-03,1251.9,1255.9,1246.4,1254,2.7999999999999545,13.93974358974333,0.48190883190894357,13.457834757834386
2017-04-04,1255.5,1263.7,1255.5,1258.4,4.400000000000091,16.305128205127858,3.60712250712254,12.698005698005318
2017-04-05,1258.2,1259.3,1245.4,1248.5,-9.900000000000091,17.721153846153584,6.694871794871789,11.026282051281795
2017-04-06,1257.6,1260.9,1251.3,1253.3,4.7999999999999545,18.16089743589714,9.535256410256352,8.625641025640789
2017-04-07,1253.9,1273.3,1252.4,1257.3,4,17.85576923076883,11.9158831908831,5.939886039885728
2017-04-10,1255.6,1258.9,1248.2,1253.9,-3.3999999999998636,17.360256410255943,13.810113960113792,3.5501424501421504
2017-04-11,1256.8,1277.4,1254.7,1274.2,20.299999999999955,17.62884615384587,15.313461538461322,2.3153846153845485
2017-04-12,1277.2,1289,1273.8,1278.1,3.8999999999998636,17.110897435897186,16.40170940170914,0.7091880341880454
2017-04-13,1288.3,1290.7,1283.8,1288.5,10.400000000000091,16.810256410255988,16.98810541310508,-0.17784900284909355
2017-04-17,1292.4,1297.4,1283.1,1291.9,3.400000000000091,16.323717948717785,17.252991452991132,-0.9292735042733469
2017-04-18,1286.7,1294.4,1280.6,1294.1,2.199999999999818,16.59999999999991,17.285754985754693,-0.6857549857547838
2017-04-19,1291.7,1292.7,1275.4,1283.4,-10.699999999999818,16.194871794871688,17.116168091167815,-0.9212962962961271
2017-04-20,1282.2,1285.2,1278,1283.8,0.3999999999998636,15.555128205128085,16.82663817663792,-1.2715099715098361
2017-04-21,1283.3,1290.1,1280,1289.1,5.2999999999999545,14.713461538461388,16.47749287749265,-1.7640313390312627
2017-04-24,1280,1280,1266,1277.5,-11.599999999999909,15.191666666666606,16.236538461538277,-1.0448717948716713
2017-04-25,1277.9,1279.9,1262.8,1267.2,-10.299999999999955,14.92692307692323,15.936324786324652,-1.0094017094014216
2017-04-26,1265.5,1272.8,1260.7,1264.2,-3,14.340384615384664,15.628490028489928,-1.2881054131052636
2017-04-27,1270.2,1271.1,1261.8,1265.9,1.7000000000000455,14.594230769230762,15.382264957264901,-0.788034188034139
2017-04-28,1265.2,1269.9,1264.2,1268.3,2.3999999999998636,13.387179487179537,15.055982905982875,-1.6688034188033374
2017-05-01,1269.6,1272.4,1254.9,1255.5,-12.799999999999955,11.184615384615654,14.454273504273512,-3.2696581196578585
2017-05-02,1257.4,1258.8,1252.6,1257,1.5,8.232692307692332,13.569586894586918,-5.336894586894585
2017-05-03,1257.8,1257.8,1236.4,1248.5,-8.5,4.892948717948684,12.384900284900318,-7.491951566951634
2017-05-04,1238.5,1241.7,1225.7,1228.6,-19.90000000000009,0.4730769230768601,10.80263532763537,-10.32955840455851
2017-05-05,1228.5,1236,1226.2,1226.9,-1.699999999999818,-3.0852564102567612,8.771866096866107,-11.857122507122869
2017-05-08,1223.1,1236.9,1221,1227.1,0.1999999999998181,-7.006410256410163,6.3348290598290635,-13.341239316239227
2017-05-09,1226.6,1228.7,1214.3,1216.1,-11,-11.739743589743739,3.4370370370370185,-15.176780626780758
2017-05-10,1222.1,1225.8,1217.5,1218.9,2.800000000000182,-15.273076923076587,0.11844729344731302,-15.3915242165239
2017-05-11,1219.2,1227.7,1216.9,1224.2,5.2999999999999545,-17.541025641025726,-3.3180199430199386,-14.223005698005787
2017-05-12,1225,1231.6,1224.4,1227.7,3.5,-19.782692307692287,-6.758831908831932,-13.023860398860354
2017-05-15,1228.3,1237.4,1226.8,1230,2.2999999999999545,-21.87820512820508,-10.1044871794872,-11.77371794871788
2017-05-16,1230.8,1239.1,1230,1236.4,6.400000000000091,-23.732692307692332,-13.28511396011398,-10.447578347578352
2017-05-17,1237.2,1261.5,1236.3,1258.7,22.299999999999955,-23.65064102564088,-15.965527065527063,-7.685113960113817
2017-05-18,1261.4,1265,1245.7,1252.8,-5.900000000000091,-23.17756410256402,-18.198005698005645,-4.979558404558375
2017-05-19,1246.8,1256.4,1246.1,1253.6,0.7999999999999545,-21.810256410256443,-19.842877492877456,-1.967378917378987
2017-05-22,1257.5,1262.6,1251.6,1261.4,7.800000000000182,-18.034615384615563,-20.54230769230766,2.5076923076920963
2017-05-23,1260.4,1263.8,1250.5,1255.5,-5.900000000000091,-14.251282051282033,-20.428774928774928,6.177492877492895
2017-05-24,1251.1,1258.8,1247.6,1253.1,-2.400000000000091,-10.507692307692196,-19.647293447293425,9.139601139601229
2017-05-25,1258.4,1259.4,1253.5,1256.4,3.300000000000182,-6.110897435897414,-18.128205128205106,12.017307692307693
2017-05-26,1255.1,1269.3,1252.6,1268.1,11.699999999999818,-1.4070512820514978,-15.853632478632486,14.446581196580988
2017-05-30,1271.2,1273.4,1261.8,1265.7,-2.3999999999998636,2.9512820512823055,-12.888746438746416,15.840028490028722
2017-05-31,1265.7,1276.8,1262,1275.4,9.700000000000045,7.007051282051179,-9.482336182336187,16.489387464387367
2017-06-01,1271.6,1272.8,1263.7,1270.1,-5.300000000000182,10.237179487179446,-5.769586894586912,16.006766381766358
2017-06-02,1268,1282.2,1261.3,1280.2,10.100000000000136,13.27179487179501,-1.8715811965811957,15.143376068376206
